"Title","SKU","Color","Size","Price","Images"
Shoe 1,SHO1-RED-05,Red,Mens 4/5 (Womens 5/6),12.00,"flip-flop-2v1.jpg, flip-flop-2v2.jpg, flip-flop-2v3.jpg", "field_category_color|#FF0000"
Shoe 1,SHO1-RED-06,Red,Mens 6 (Womens 7/8),12.00,"flip-flop-2v1.jpg, flip-flop-2v2.jpg, flip-flop-2v3.jpg", "field_category_color|#FF0000"
Shoe 1,SHO1-RED-08,Red,Mens 7/8 (Womens 9/10),12.00,"flip-flop-2v1.jpg, flip-flop-2v2.jpg, flip-flop-2v3.jpg", "field_category_color|#FF0000"
Shoe 1,SHO1-RED-09,Red,Mens 9 (Womens 11/12),12.00,"flip-flop-2v1.jpg, flip-flop-2v2.jpg, flip-flop-2v3.jpg", "field_category_color|#FF0000"
Shoe 1,SHO1-RED-11,Red,Mens 10/11,12.00,"flip-flop-2v1.jpg, flip-flop-2v2.jpg, flip-flop-2v3.jpg", "field_category_color|#FF0000"
Shoe 1,SHO1-RED-12,Red,Mens 12,12.00,"flip-flop-2v1.jpg, flip-flop-2v2.jpg, flip-flop-2v3.jpg", "field_category_color|#FF0000"
Shoe 2,SHO2-PRL-04,Purple,Mens 4 (Womens 6),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-05,Purple,Mens 5 (Womens 7),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-06,Purple,Mens 6 (Womens 8),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-07,Purple,Mens 7 (Womens 9),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-08,Purple,Mens 8 (Womens 10),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-09,Purple,Mens 9 (Womens 11),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-10,Purple,Mens 10 (Womens 12),40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-11,Purple,Mens 11 ,40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
Shoe 2,SHO2-PRL-12,Purple,Mens 12 ,40.00,"shoe2_v1.jpg, shoe2_v2.jpg, shoe2_v3.jpg", "field_category_color|#551A8B"
